project_id,dataset_id,table_id,description
nw-ai-lab,illinois_2025_nw,iar_ela,"This table contains information on student performance in the Illinois Assessment of Readiness (IAR) for English Language Arts (ELA). It includes data on student demographics, test scores, and performance levels. Key columns include Student Name, Student ID, Annual Grade, Test Grade, Grade Level Current, Current Homeroom, Tested School, Current School, Product (Product Type), Test Scaled Score, Student Growth Percentile, Subject Category, and Test Primary Result Code, and Year."
nw-ai-lab,illinois_2025_nw,iar_math,"This table contains information on student performance in the Illinois Assessment of Readiness (IAR) for Mathematics. It includes data on student demographics, test scores, and performance levels. Key columns include Student Name, Student ID, Annual Grade, Test Grade, Grade Level Current, Current Homeroom, Tested School, Current School, Product (Product Type), Test Scaled Score, Student Growth Percentile, Subject Category, Test Primary Result Code, Year."
